workload,label,cofunc_s,cofunc_huge_s,native_s,cold_s,artifact_c_from_summary_s,cofunc_minus_cofunc_huge_s,cofunc_minus_native_s,cofunc_minus_cold_s,abs_cofunc_minus_cofunc_huge_s,abs_cofunc_minus_native_s,abs_cofunc_minus_cold_s,cofunc_over_cofunc_huge,cofunc_over_native,cofunc_over_cold
fn_py_face_detection,face (py),2.150000,0.617000,0.598000,1.899000,0.617000,1.533000,1.552000,0.251000,1.533000,1.552000,0.251000,3.484603,3.595318,1.132175
fn_py_image_processing,image (py),12.617000,4.537000,4.506000,5.412000,4.537000,8.080000,8.111000,7.205000,8.080000,8.111000,7.205000,2.780912,2.800044,2.331301
fn_py_sentiment,sentiment (py),0.258000,0.014000,0.010000,0.686000,0.014000,0.244000,0.248000,-0.428000,0.244000,0.248000,0.428000,18.428571,25.800000,0.376093
fn_py_video_processing,video (py),62.642000,28.930000,28.536000,30.233000,28.930000,33.712000,34.106000,32.409000,33.712000,34.106000,32.409000,2.165296,2.195192,2.071974
fn_py_compression,compress (py),3.039000,0.685000,0.623000,1.210000,0.685000,2.354000,2.416000,1.829000,2.354000,2.416000,1.829000,4.436496,4.878010,2.511570
fn_py_dna_visualisation,dna (py),26.439000,9.395000,9.104000,10.181000,9.395000,17.044000,17.335000,16.258000,17.044000,17.335000,16.258000,2.814156,2.904108,2.596896
fn_js_uploader,upload (js),1.222000,0.221000,0.159000,1.016000,0.221000,1.001000,1.063000,0.206000,1.001000,1.063000,0.206000,5.529412,7.685535,1.202756
fn_js_thumbnailer,thumbnail (js),0.730000,0.193000,0.169000,1.121000,0.193000,0.537000,0.561000,-0.391000,0.537000,0.561000,0.391000,3.782383,4.319527,0.651204
chain_js_alexa,alexa (js),1.171000,0.156000,0.106000,2.822000,0.156000,1.015000,1.065000,-1.651000,1.015000,1.065000,1.651000,7.506410,11.047170,0.414954
